
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E8:65:D4:31:3D:58, 2026-02-14 12:28:20, 2026-02-14 12:29:14,  1, 130, WPA2, CCMP, PSK, -67,      349,      330,   0.  0.  0.  0,   6, Shammy, 
D8:32:14:5C:B8:48, 2026-02-14 12:28:20, 2026-02-14 12:29:14,  1, 270, WPA2, CCMP, PSK, -86,      258,        0,   0.  0.  0.  0,  12, Claire Jeroo, 
50:0F:F5:D4:53:78, 2026-02-14 12:28:20, 2026-02-14 12:29:14,  2, 270, WPA2, CCMP, PSK, -75,      218,        3,   0.  0.  0.  0,   5, Wayne, 
CC:2D:21:B9:59:C8, 2026-02-14 12:28:21, 2026-02-14 12:29:14,  1, 130, WPA2, CCMP, PSK,   0,      329,       23,   0.  0.  0.  0,   5, Chris, 
C8:3A:35:42:F7:F8, 2026-02-14 12:28:21, 2026-02-14 12:29:14,  1, 270, WPA2, CCMP, PSK, -86,      222,      100,   0.  0.  0.  0,   7, Blessed, 
50:0F:F5:99:68:E0, 2026-02-14 12:28:26, 2026-02-14 12:29:12,  1,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
F4:2A:7D:54:1F:11, 2026-02-14 12:28:28, 2026-02-14 12:29:14,  1, 195, OPN, ,   , -83,      120,       35,  10.  1.  0.  1,   7, KONNECT, 
B4:09:31:08:27:48, 2026-02-14 12:28:35, 2026-02-14 12:29:05,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -66,        2,        0,   0.  0.  0.  0,   5, EmmaG, 
B4:09:31:08:27:49, 2026-02-14 12:28:35, 2026-02-14 12:29:05,  6, 130, OPN, ,   , -63,        4,        0,   0.  0.  0.  0,  15, SILVER NETWORKS, 
C8:3A:35:35:A0:C0, 2026-02-14 12:28:36, 2026-02-14 12:29:05,  9, 130, WPA2 WPA, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   7, SIR RAY, 
04:95:E6:F4:BA:20, 2026-02-14 12:28:36, 2026-02-14 12:29:05,  7, 270, WPA2, CCMP, PSK, -90,        2,        0,   0.  0.  0.  0,   4, Mily, 
F0:25:8E:AB:FD:4D, 2026-02-14 12:28:36, 2026-02-14 12:29:05,  8, 130, WPA2, CCMP, PSK, -62,        4,        0,   0.  0.  0.  0,  17, PASSWORD:12345678, 
F0:25:8E:AB:FD:4C, 2026-02-14 12:28:36, 2026-02-14 12:29:05,  8, 130, WPA2, CCMP, PSK, -62,        3,        0,   0.  0.  0.  0,   4, CATE, 
0C:80:63:7D:26:C2, 2026-02-14 12:28:36, 2026-02-14 12:29:05, 11, 270, WPA2, CCMP TKIP, PSK, -42,        5,       13,   0.  0.  0.  0,  11, KALINITECH , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
32:24:C7:83:2A:D5, 2026-02-14 12:28:20, 2026-02-14 12:28:20, -79,        2, (not associated) ,
D2:1C:D9:AA:63:68, 2026-02-14 12:28:21, 2026-02-14 12:28:32, -95,        5, D8:32:14:5C:B8:48,
EE:25:29:25:C4:72, 2026-02-14 12:28:21, 2026-02-14 12:29:13, -86,       16, E8:65:D4:31:3D:58,
1A:07:F7:71:FB:F8, 2026-02-14 12:28:21, 2026-02-14 12:29:01, -87,        8, C8:3A:35:42:F7:F8,
FE:62:BE:7A:B4:05, 2026-02-14 12:28:23, 2026-02-14 12:29:14, -83,       39, CC:2D:21:B9:59:C8,
74:60:FA:00:12:6D, 2026-02-14 12:28:24, 2026-02-14 12:29:14, -91,       31, CC:2D:21:B9:59:C8,
20:4E:F6:85:BA:B1, 2026-02-14 12:28:26, 2026-02-14 12:29:12, -95,       34, 50:0F:F5:99:68:E0,
E6:75:7C:0A:21:25, 2026-02-14 12:28:32, 2026-02-14 12:28:43, -95,        2, 50:0F:F5:D4:53:78,
CE:79:AE:88:50:38, 2026-02-14 12:28:35, 2026-02-14 12:29:05, -43,       26, (not associated) ,
54:01:95:03:D8:3D, 2026-02-14 12:28:36, 2026-02-14 12:29:05, -81,        3, C8:3A:35:35:A0:C0,
10:F6:0A:B1:A2:1F, 2026-02-14 12:28:36, 2026-02-14 12:29:05, -27,       12, 0C:80:63:7D:26:C2,
DA:48:6A:06:1F:E5, 2026-02-14 12:28:36, 2026-02-14 12:29:05, -59,       10, 0C:80:63:7D:26:C2,
B4:AD:A3:D9:69:FA, 2026-02-14 12:28:43, 2026-02-14 12:29:08,  -1,        3, 50:0F:F5:D4:53:78,
B2:AA:A6:D8:B2:54, 2026-02-14 12:28:43, 2026-02-14 12:28:43, -95,        1, (not associated) ,
66:7A:2E:5D:72:29, 2026-02-14 12:28:46, 2026-02-14 12:29:12, -95,       10, C8:3A:35:42:F7:F8,
4A:A2:2D:93:23:81, 2026-02-14 12:28:57, 2026-02-14 12:29:09,  -1,        6, F4:2A:7D:54:1F:11,

